,Price,Rooms,Surface,Bathrooms,Floor,Zona
4,850,1,30,1,3,arena
5,700,2,42,1,3,arena
6,3000,3,100,2,A,arena
7,3000,3,100,2,3,arena
8,4583,5+,250,2,,arena
9,1500,2,55,1,A,arena
10,1700,3,120,2,4,arena
11,2900,3,120,2,1,arena
12,650,1,30,1,2,arena
13,1300,3,75,1,3,arena
14,950,1,30,1,A,arena
15,1400,2,40,1,3,arena
16,3000,3,110,2,3,arena
17,1600,2,75,2,A,arena
18,1100,2,45,1,3,arena
19,2100,3,90,1,2,arena
0,2500,3,110,2,1,pagano
1,2100,4,120,2,5,pagano
2,780,1,28,1,R,pagano
3,5833,4,250,3+,2,pagano
4,2500,3,120,2,1,pagano
5,6250,5+,250,3+,3,pagano
6,2420,2,90,1,A,pagano
7,2500,3,100,2,1,pagano
8,1900,3,90,1,2,pagano
9,640,1,28,1,4,pagano
10,6250,5+,260,3+,3,pagano
11,3200,5,145,2,3,pagano
12,950,1,43,1,3,pagano
13,2416,2,85,1,4,pagano
14,1288,2,50,1,4,pagano
15,870,2,45,1,5,pagano
16,2500,3,120,2,1,pagano
17,5835,5+,250,3+,2,pagano
18,1300,2,55,1,2,pagano
19,2500,2,100,2,1,pagano
20,2500,3,120,2,1,pagano
21,3000,2,90,2,3,pagano
22,6250,5+,280,3+,3,pagano
23,1250,1,60,1,1,pagano
24,2334,3,105,2,2,pagano
25,2416,2,110,1,A,pagano
26,8000,4,300,3,3,pagano
27,5500,5+,300,3,2,pagano
28,1300,2,55,1,2,pagano
29,5830,5+,250,3+,2,pagano
30,2200,3,110,2,6,pagano
31,5500,5+,275,3+,2,pagano
32,1350,2,75,1,3,pagano
33,7500,5+,280,3+,3,pagano
34,2100,4,105,1,,pagano
35,5000,5+,220,3,,pagano
36,3166,3,140,2,A,pagano
37,5833,5+,280,3+,,pagano
38,1250,1,50,1,1,pagano
39,2420,2,70,1,A,pagano
40,7500,5+,280,3,3,pagano
41,2400,2,80,1,A,pagano
42,2500,2,80,2,A,pagano
43,2416,2,116,1,A,pagano
44,2416,2,80,1,A,pagano
45,2333,3,100,2,2,pagano
46,2416,2,95,,A,pagano
47,3900,5,150,2,4,pagano
48,2500,3,120,2,2,pagano
49,3900,5,215,3,3,pagano
0,1500,2,65,1,2,ticinese
1,1275,2,65,1,A,ticinese
2,3500,4,140,2,1,ticinese
3,1420,3,65,1,4,ticinese
4,1150,2,55,1,2,ticinese
5,3500,3,140,2,1,ticinese
6,1600,2,65,1,R,ticinese
7,1400,3,70,1,1,ticinese
8,1085,2,45,1,4,ticinese
9,1416,2,60,1,4,ticinese
10,1600,2,70,1,R,ticinese
11,1100,2,65,1,1,ticinese
12,1690,2,50,1,2,ticinese
13,1600,2,70,1,R,ticinese
14,980,1,40,1,2,ticinese
15,1500,3,85,2,1,ticinese
16,2500,3,140,1,3,ticinese
17,1300,2,72,1,3,ticinese
18,1950,2,101,1,4,ticinese
19,1400,2,82,2,1,ticinese
20,2250,3,100,2,,ticinese
21,1400,3,96,1,3,ticinese
22,2250,4,150,2,2,ticinese
23,1400,3,70,1,1,ticinese
24,1400,2,53,1,R,ticinese
25,2200,3,104,2,5,ticinese
26,1500,2,65,1,2,ticinese
27,2000,3,80,1,2,ticinese
28,1250,2,70,1,3,ticinese
29,1416,2,63,1,4,ticinese
30,2300,3,120,1,1,ticinese
31,4500,5+,250,3,,ticinese
32,1350,2,70,1,3,ticinese
33,3000,4,212,3,1,ticinese
34,2700,4,90,1,3,ticinese
35,2070,4,120,1,4,ticinese
36,2300,3,95,1,3,ticinese
37,1450,2,60,1,,ticinese
38,2900,3,110,1,T,ticinese
39,1450,3,90,1,2,ticinese
40,1150,2,50,1,R,ticinese
41,980,2,50,1,1,ticinese
42,1420,3,60,1,4,ticinese
43,3000,3,100,2,6,ticinese
44,1100,2,45,1,5,ticinese
45,1000,1,45,1,1,ticinese
46,1170,2,55,1,1,ticinese
47,800,1,25,1,6,ticinese
48,1200,1,43,1,8,ticinese
49,1200,2,60,1,R,ticinese
50,1100,2,60,1,1,ticinese
51,2500,4,162,3,7,ticinese
52,1200,2,50,1,R,ticinese
53,1300,2,45,1,4,ticinese
54,1350,2,78,1,5,ticinese
55,2350,4,140,2,1,ticinese
56,1085,2,45,1,4,ticinese
57,2550,3,90,1,3,ticinese
58,2000,2,90,1,1,ticinese
59,1250,1,50,1,5,ticinese
60,950,2,45,1,4,ticinese
61,1200,2,50,1,R,ticinese
62,1000,1,30,,R,ticinese
63,1000,2,45,1,4,ticinese
64,2900,4,140,3,1,ticinese
65,2400,3,95,2,1,ticinese
66,1300,1,50,1,1,ticinese
67,3700,5,165,3,4,ticinese
68,1300,2,60,1,,ticinese
69,2000,2,50,1,R,ticinese
70,1100,2,64,1,4,ticinese
71,950,2,40,1,T,ticinese
72,1550,2,75,1,3,ticinese
73,1100,1,45,1,2,ticinese
74,4000,4,180,3,1,ticinese
75,,5+,500,3+,A,ticinese
76,4000,5+,230,3,1,ticinese
77,1250,2,68,1,1,ticinese
78,650,1,30,1,1,ticinese
79,2300,3,85,2,A,ticinese
80,1380,2,62,1,3,ticinese
81,980,2,45,1,3,ticinese
82,1500,2,48,1,1,ticinese
83,2500,3,140,2,R,ticinese
84,1090,2,50,1,1,ticinese
85,3250,5,190,3,1,ticinese
86,950,1,40,1,3,ticinese
87,3500,4,220,2,,ticinese
88,600,1,21,1,3,ticinese
89,1100,3,62,1,1,ticinese
90,950,2,40,1,T,ticinese
91,1100,2,55,1,R,ticinese
92,2000,3,95,2,,ticinese
93,3000,4,185,2,5,ticinese
94,1300,2,60,1,2,ticinese
95,1100,1,35,1,,ticinese
96,1400,1,40,1,3,ticinese
97,1000,2,55,1,1,ticinese
98,1650,2,50,1,4,ticinese
99,2200,1,24,1,1,ticinese
0,5835,4,200,3+,3,palestro
1,2160,2,60,1,2,palestro
2,1660,2,45,1,5,palestro
3,4583,5,220,3,1,palestro
4,2917,3,120,2,3,palestro
5,4466,5,220,3,1,palestro
6,3500,4,150,3,3,palestro
7,5000,5+,230,3,,palestro
8,2100,3,80,1,3,palestro
9,3500,4,150,2,3,palestro
10,4400,5,220,3,1,palestro
11,1500,2,75,2,,palestro
12,4420,5+,220,3+,3,palestro
13,4416,5,220,3,1,palestro
14,4583,5+,220,3,R,palestro
15,2666,3,110,2,2,palestro
16,3000,3,110,1,2,palestro
17,4416,5+,220,3+,1,palestro
18,6000,4,150,3,A,palestro
19,4583,5,220,3,1,palestro
20,1100,2,48,1,R,palestro
21,2667,3,110,2,2,palestro
