;contratto;zona;tipologia;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
669;Affitto;san-donato;Parziale proprietà, classe immobile media;23;1;2°;Intera proprietà;400;30;;1960.0;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/72884490/
670;Affitto;san-donato;Parziale proprietà, classe immobile media;45;2;4°;Intera proprietà;550;55;;1900.0;ottimo/ristrutturato;autonomo;;;;;autonomo;F ;https://www.immobiliare.it/annunci/72447200/
671;Affitto;san-donato;Parziale proprietà, classe immobile media;123;4;Ultimo;Intera proprietà;1200;87;;1950.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;G ;https://www.immobiliare.it/annunci/72062524/
672;Affitto;san-donato;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;530;80;;1890.0;ottimo/ristrutturato;autonomo;;;;;None;G ;https://www.immobiliare.it/annunci/71784920/
673;Affitto;san-donato;Parziale proprietà, classe immobile media;50;2;Piano;Intera proprietà;380;40;;1970.0;buono/abitabile;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/71755260/
674;Affitto;san-donato;Parziale proprietà, classe immobile media;75;3;3°;;900;50;;;buono/abitabile;autonomo;;;;;None;C ;https://www.immobiliare.it/annunci/70516570/
675;Affitto;san-donato;Parziale proprietà, classe immobile media;55;1;1°;Intera proprietà;500;20;;1975.0;buono/abitabile;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/69810286/
676;Affitto;san-donato;Parziale proprietà, classe immobile media;40;2;4°;Intera proprietà;550;30;;1950.0;buono/abitabile;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/69275858/
677;Affitto;san-donato;Parziale proprietà, classe immobile media;100;4;3°;Intera proprietà;700;;;1930.0;ottimo/ristrutturato;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/64146230/
678;Affitto;san-donato;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;490;30;;1950.0;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/58360154/
679;Affitto;san-donato;Parziale proprietà, classe immobile media;95;3;4°;Classe immobile signorile;1200;80;;2011.0;nuovo/incostruzione;autonomo;;;;;None;A ;https://www.immobiliare.it/annunci/52373301/
680;Affitto;san-donato;Parziale proprietà, classe immobile media;30;1;5°;Classe immobile media;375;35;;;ottimo/ristrutturato;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/49689487/
681;Affitto;san-donato;Parziale proprietà, classe immobile media;30;1;5°;Intera proprietà;310;30;;1920.0;buono/abitabile;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/42193951/
682;Affitto;san-donato;Parziale proprietà, classe immobile media;25;2;Piano;Intera proprietà;450;30;;1930.0;ottimo/ristrutturato;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/31168678/
683;Affitto;cit-turin;Parziale proprietà, classe immobile media;50;2;Piano;Intera proprietà;500;50;;1950.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;;https://www.immobiliare.it/annunci/80860983/
684;Affitto;cit-turin;Parziale proprietà, classe immobile media;120;4;1°;;900;125;;1970.0;buono/abitabile;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80862655/
685;Affitto;cit-turin;Parziale proprietà, classe immobile media;158;5;1°;Intera proprietà;1400;240;;1960.0;buono/abitabile;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/80854519/
686;Affitto;cit-turin;Parziale proprietà, classe immobile media;120;5;Piano;Intera proprietà;1200;250;;1970.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80852805/
687;Affitto;cit-turin;Parziale proprietà, classe immobile media;45;2;1°;Intera proprietà;370;50;;2007.0;ottimo/ristrutturato;autonomo;;;;;None;B ;https://www.immobiliare.it/annunci/80827509/
688;Affitto;cit-turin;Parziale proprietà, classe immobile media;35;1;Ultimo;Intera proprietà;390;30;;;ottimo/ristrutturato;autonomo;;;;;autonomo;F ;https://www.immobiliare.it/annunci/80786961/
689;Affitto;cit-turin;Parziale proprietà, classe immobile media;115;4;2°;Intera proprietà;750;100;;;ottimo/ristrutturato;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80781823/
