;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica;Arredato S/N;Link annuncio;Price
2416;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;25;1;1°;Intera proprietà;260;0.0;0.0;1948.0;ottimo/ristrutturato;autonomo;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79375927/;260
2417;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;2°;Intera proprietà;380;0.0;0.0;1787.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79374355/;380
2418;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;50;2;Con;Intera proprietà;500;0.0;0.0;0.0;0;centralizzato;None;0;Arredato;https://www.immobiliare.it/annunci/79370601/;500
2419;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;26;1;Con;Intera proprietà;320;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               G              ;Arredato;https://www.immobiliare.it/annunci/79365651/;320
2420;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;38;1;3°;Intera proprietà;420;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79372219/;420
2421;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;85;3;Piano;Intera proprietà;800;50.0;0.0;1900.0;buono/abitabile;centralizzato;None;               F              ;Arredato;https://www.immobiliare.it/annunci/79316801/;800
2422;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;25;1;1°;Intera proprietà;400;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               C              ;Arredato;https://www.immobiliare.it/annunci/79317559/;400
2423;               Affitto, 4+4            ;vanchiglia;Parziale proprietà, classe immobile media;70;3;8°;Intera proprietà;450;0.0;0.0;0.0;buono/abitabile;0;None;               Non classificabile              ;0;https://www.immobiliare.it/annunci/79311453/;450
2424;               Affitto, 4+4            ;vanchiglia;Parziale proprietà, classe immobile media;30;1;3°;Intera proprietà;360;90.0;0.0;1900.0;buono/abitabile;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79276677/;360
2425;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;75;3;8°;Intera proprietà;450;0.0;0.0;1976.0;ottimo/ristrutturato;centralizzato;None;               D              ;Non arredato;https://www.immobiliare.it/annunci/79268395/;450
2426;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;2°;Intera proprietà;420;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79241287/;420
2427;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;15;1;2°;0;290;0.0;0.0;0.0;buono/abitabile;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/79220731/;290
2429;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;500;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79209791/;500
2430;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;40;2;3°;Intera proprietà;450;30.0;0.0;0.0;buono/abitabile;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79167417/;450
2431;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;450;50.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/79198547/;450
2432;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;48;2;Con;Intera proprietà;400;0.0;0.0;0.0;ottimo/ristrutturato;0;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79149883/;400
2433;               Affitto, 4+4            ;vanchiglia;Parziale proprietà, classe immobile media;71;3;8°;Intera proprietà;450;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Non arredato;https://www.immobiliare.it/annunci/79090955/;450
2434;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;420;0.0;0.0;1980.0;ottimo/ristrutturato;autonomo;None;               B              ;Arredato;https://www.immobiliare.it/annunci/79033445/;420
2435;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;380;40.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/79042413/;380
2436;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;47;2;2°;Intera proprietà;420;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/78998845/;420
2437;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;80;3;1°;Intera proprietà;700;40.0;40.0;1930.0;buono/abitabile;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/78986689/;700
2438;               Affitto, 4+4            ;vanchiglia;Parziale proprietà, classe immobile media;30;1;Con;Intera proprietà;350;30.0;0.0;0.0;nuovo/incostruzione;autonomo;None;               D              ;0;https://www.immobiliare.it/annunci/78973307/;350
2439;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;500;30.0;0.0;1960.0;ottimo/ristrutturato;autonomo;None;               E              ;Arredato;https://www.immobiliare.it/annunci/78959611/;500
2440;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;35;1;3°;Intera proprietà;445;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78934969/;445
2441;               Affitto, 4+4            ;vanchiglia;Parziale proprietà, classe immobile media;61;3;5°;Intera proprietà;600;60.0;41.0;1930.0;ottimo/ristrutturato;0;None;               D              ;Arredato;https://www.immobiliare.it/annunci/78916299/;600
2442;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;50;2;Piano;Intera proprietà;580;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/78890051/;580
2443;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;30;1;1°;0;400;30.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78844051/;400
2444;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;20;1;5°;Intera proprietà;330;0.0;0.0;1850.0;ottimo/ristrutturato;autonomo;None;               G              ;Arredato;https://www.immobiliare.it/annunci/78825315/;330
2445;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;40;2;1°;Intera proprietà;430;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78826303/;430
2446;               Affitto, studenti (6-36 mesi)            ;vanchiglia;Parziale proprietà, classe immobile media;80;4;3°;Parziale proprietà;330;80.0;0.0;1940.0;ottimo/ristrutturato;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/78768949/;330
2447;               Affitto, studenti (6-36 mesi)            ;vanchiglia;Parziale proprietà, classe immobile media;80;4;3°;Parziale proprietà;200;80.0;0.0;1930.0;buono/abitabile;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/78769197/;200
