;contratto;zona;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
1572;Affitto;centro;300;5.0;3°;Intera proprietà;2150;62.0;0.0;1900.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;None;C ;https://www.immobiliare.it/annunci/70474558/
1573;Affitto;centro;85;2.0;2°;Intera proprietà;1500;120.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/70429642/
1574;Affitto;centro;212;5.0;2°;Intera proprietà;3800;300.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/70407522/
1575;Affitto;centro;85;3.0;1°;Intera proprietà;900;75.0;0.0;1900.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/70397250/
1576;Affitto;centro;300;5.0;2°;Intera proprietà;2850;200.0;0.0;1800.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;autonomo;F ;https://www.immobiliare.it/annunci/70374652/
1577;Affitto;centro;119;4.0;5°;Intera proprietà;2000;166.0;0.0;1800.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;0;https://www.immobiliare.it/annunci/70352602/
1578;Affitto;centro;140;4.0;Ultimo;Intera proprietà;1500;150.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/70227486/
1579;Affitto;centro;55;2.0;3°;Intera proprietà;Prezzo su richiesta;50.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A ;https://www.immobiliare.it/annunci/70155174/
1580;Affitto;centro;72;2.0;Piano;Intera proprietà;750;100.0;0.0;1780.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;autonomo;C ;https://www.immobiliare.it/annunci/69732149/
1581;Affitto;centro;60;2.0;5°;Intera proprietà;760;40.0;0.0;1800.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/69436600/
1582;Affitto;centro;45;1.0;2°;Intera proprietà;1000;100.0;0.0;1700.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A3;https://www.immobiliare.it/annunci/69353856/
1583;Affitto;centro;55;2.0;2°;Intera proprietà;1000;150.0;0.0;2018.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;autonomo;A3;https://www.immobiliare.it/annunci/69350794/
1584;Affitto;centro;55;2.0;1°;Intera proprietà;850;50.0;0.0;2017.0;nuovo/incostruzione;autonomo;0.0;0.0;0.0;0.0;autonomo;A1;https://www.immobiliare.it/annunci/69275194/
1585;Affitto;centro;105;3.0;2°;Intera proprietà;1850;200.0;0.0;2017.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A3;https://www.immobiliare.it/annunci/69169828/
1586;Affitto;centro;46;1.0;2°;Intera proprietà;750;100.0;0.0;2017.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A3;https://www.immobiliare.it/annunci/69153028/
1587;Affitto;centro;89;2.0;da;Intera proprietà;1000;0.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/68992263/
1588;Affitto;centro;55;2.0;2°;Intera proprietà;700;50.0;0.0;1990.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/68904537/
1589;Affitto;centro;40;2.0;1°;Intera proprietà;580;20.0;0.0;1930.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/68721323/
1590;Affitto;centro;60;2.0;5°;Intera proprietà;600;90.0;0.0;1600.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/68644199/
1591;Affitto;centro;60;1.0;2°;Intera proprietà;1200;70.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/68529677/
1592;Affitto;centro;50;2.0;2°;Intera proprietà;600;50.0;0.0;1900.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/68455551/
1593;Affitto;centro;42;2.0;2°;Intera proprietà;520;25.0;0.0;1850.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/68436607/
1594;Affitto;centro;60;2.0;2°;Intera proprietà;750;60.0;0.0;2006.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/68381229/
1595;Affitto;centro;80;3.0;3°;Intera proprietà;890;65.0;0.0;1680.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/68317947/
1596;Affitto;centro;70;3.0;Ultimo;Intera proprietà;750;50.0;0.0;1900.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;G ;https://www.immobiliare.it/annunci/68154261/
1597;Affitto;centro;80;3.0;2°;Intera proprietà;1000;110.0;0.0;0.0;nuovo/incostruzione;autonomo;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/68058949/
1598;Affitto;centro;60;2.0;2°;Intera proprietà;1000;120.0;0.0;1920.0;nuovo/incostruzione;autonomo;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/67572039/
1599;Affitto;centro;400;5.0;3°;Intera proprietà;3150;200.0;0.0;0.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/66926843/
1600;Affitto;centro;206;5.0;4°,;Intera proprietà;1600;290.0;0.0;1800.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/66560201/
1601;Affitto;centro;95;3.0;4°;Intera proprietà;670;55.0;0.0;1890.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/66543137/
1602;Affitto;centro;78;3.0;1°;Intera proprietà;950;50.0;0.0;1900.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/66435007/
