,Anno di costruzione,Aria Condizionata,Arredamento,Ascensore,Bagni,Balcone,Box,Cantina,Condizioni,Giardino,Locali,MQ Box,MQ Giardino,Metri quadri,Piano,Piscina,Portineria,Prezzo,Riscaldamento,Soffitta,Spese condominiali,Stato al rogito,Terrazzo,Distretto
129,0,0,0,0,1,0,0,0,0,0,1,0,0,46,0,0,0,€ 350 al mese,0,0,0,0,0,aurora
130,0,0,completamente arredato,Sì,1,Sì,0,0,0,0,3,0,0,75,3,0,0,€ 500 al mese,0,0,0,0,0,aurora
131,0,0,0,0,1,0,0,0,0,0,2,0,0,75,0,0,0,€ 500 al mese,0,0,0,0,0,aurora
132,0,0,0,0,1,0,0,0,0,0,1,0,0,45,0,0,0,€ 300 al mese,0,0,0,0,0,aurora
133,0,0,0,0,1,0,0,0,0,0,2,0,0,70,0,0,0,€ 450 al mese,0,0,0,0,0,aurora
134,1920,autonoma,completamente arredato,0,1,Sì,0,0,ristrutturato,0,3,0,0,65,1 di 5 piani,0,0,€ 660 al mese,autonomo,0,€ 100/mese,0,0,aurora
135,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,2,0,0,51,6 di 7 piani,0,0,€ 400 al mese,centralizzato,0,€ 50/mese,0,0,aurora
136,1960,assente,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,3,0,0,54,1 di 4 piani,0,0,€ 580 al mese,autonomo,0,€ 120/mese,0,0,aurora
137,1970,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,45,5 di 9 piani,0,Sì,€ 500 al mese,centralizzato cont. ind.,0,€ 50/mese,0,0,aurora
138,1950,assente,completamente arredato,0,1,Sì,0,Sì,abitabile,0,3,0,0,65,3 di 5 piani,0,0,€ 500 al mese,centralizzato,0,€ 100/mese,0,0,aurora
139,1960,assente,completamente arredato,0,0,Sì,0,Sì,ristrutturato,0,3,0,0,100,2 di 2 piani,0,0,€ 680 al mese,autonomo,0,€ 100/mese,0,0,aurora
140,1887,0,completamente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,35,3,0,0,€ 390 al mese,autonomo,0,€ 40/mese,0,0,aurora
141,1870,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,20,3,0,0,€ 290 al mese,autonomo,0,€ 30/mese,0,0,aurora
142,0,autonoma,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,25,0,0,0,€ 350 al mese,autonomo,0,€ 150/mese,0,0,aurora
143,0,assente,non arredato,Sì,1,Sì,0,0,abitabile,0,2,0,0,50,4,0,0,Trattativa riservata,autonomo,0,0,libero,0,aurora
144,1966,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,85,2 di 5 piani,0,0,€ 550 al mese,centralizzato,0,0,occupato,0,barriera-milano
145,1965,0,completamente arredato,Sì,1,Sì,0,0,abitabile,comune,2,0,0,45,3 di 7 piani,0,0,€ 350 al mese,centralizzato,0,0,libero,Sì,barriera-milano
146,0,0,non arredato,Sì,1,Sì,0,Sì,ristrutturato,0,5,0,0,55,5 di 5 piani,0,0,€ 430 al mese,centralizzato cont. ind.,0,€ 60/mese,0,Sì,barriera-milano
147,1940,assente,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,40,1 di 5 piani,0,0,€ 380 al mese,centralizzato,0,€ 25/mese,libero,0,barriera-milano
148,1963,0,0,Sì,1,Sì,0,Sì,abitabile,0,3,0,0,85,5 di 6 piani,0,0,€ 450 al mese,centralizzato,0,€ 50/mese,libero,0,barriera-milano
149,1900,assente,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,40,2 di 3 piani,0,0,€ 300 al mese,autonomo,0,€ 50/mese,libero,0,barriera-milano
150,0,0,completamente arredato,Sì,1,0,0,0,ristrutturato,0,2,0,0,40,1 di 5 piani,0,0,€ 350 al mese,centralizzato,0,€ 50/mese,libero,0,barriera-milano
151,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,1,0,0,25,2,0,0,€ 200 al mese,autonomo,0,0,libero,0,barriera-milano
152,0,0,parzialmente arredato,0,1,Sì,0,0,ristrutturato,0,4,0,0,130,5,0,0,€ 600 al mese,centralizzato,0,0,0,0,barriera-milano
153,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,85,4,0,0,€ 450 al mese,autonomo,0,0,0,0,barriera-milano
154,0,0,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,30,2,0,0,€ 200 al mese,autonomo,0,0,0,0,barriera-milano
155,0,0,completamente arredato,0,1,0,0,0,abitabile,0,3,0,0,85,3,0,0,€ 450 al mese,centralizzato,0,0,0,0,barriera-milano
156,0,0,0,0,1,0,0,0,ristrutturato,0,2,0,0,45,1,0,0,€ 350 al mese,0,0,0,0,0,barriera-milano
157,0,assente,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,20,2,0,0,€ 200 al mese,autonomo,0,€ 20/mese,libero,0,barriera-milano
158,1960,0,parzialmente arredato,Sì,1,0,0,Sì,0,0,4,0,0,100,3 di 6 piani,0,0,€ 800 al mese,centralizzato,Sì,€ 80/mese,0,0,barriera-milano
159,1975,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,85,5 di 7 piani,0,0,€ 600 al mese,centralizzato,0,€ 50/mese,0,0,barriera-milano
160,0,0,0,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,55,5 di 5 piani,0,0,€ 430 al mese,centralizzato cont. ind.,0,€ 60/mese,0,Sì,barriera-milano
161,0,assente,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,2,0,0,50,ultimo di 4 piani,0,0,€ 400 al mese,autonomo,0,€ 40/mese,0,0,barriera-milano
162,1950,assente,non arredato,Sì,1,Sì,0,Sì,abitabile,0,2,0,0,40,3 di 4 piani,0,0,€ 350 al mese,centralizzato cont. ind.,0,€ 40/mese,0,0,barriera-milano
163,2009,0,completamente arredato,Sì,1,0,0,0,nuovo,0,2,0,0,43,4 di 4 piani,0,0,€ 400 al mese,centralizzato,0,€ 80/mese,0,0,barriera-milano
164,1966,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,85,2 di 5 piani,0,0,€ 550 al mese,centralizzato,0,0,occupato,0,barriera-milano
