;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
129;               Affitto, libero            ;centro;Intera proprietà;160;4;1°;Intera proprietà;1800;200;;2017.0;ottimo/ristrutturato;autonomo;None;
130;               Affitto, libero            ;centro;Intera proprietà;42;1;Piano;Intera proprietà;800;160;;2017.0;ottimo/ristrutturato;autonomo;autonomo;
131;               Affitto, 4+4            ;centro;Intera proprietà;55;2;1°;Intera proprietà;780;45;58.0;1900.0;ottimo/ristrutturato;autonomo;autonomo;
132;               Affitto            ;centro;Intera proprietà;190;5;3°;Intera proprietà;1750;100;150.0;1920.0;ottimo/ristrutturato;centralizzato;assente;
133;               Affitto, 4+4            ;centro;Intera proprietà;45;2;1°;Intera proprietà;750;50;33.0;1800.0;ottimo/ristrutturato;centralizzato;autonomo;               C              
134;               Affitto, transitorio            ;centro;Intera proprietà;38;2;Piano;Intera proprietà;400;80;;1920.0;ottimo/ristrutturato;autonomo;None;
135;               Affitto, libero            ;centro;Intera proprietà;160;5;2°;Intera proprietà;1000;125;;;buono/abitabile;autonomo;None;               D              
136;               Affitto            ;centro;Intera proprietà;38;2;Ultimo;Intera proprietà;490;80;;;buono/abitabile;autonomo;None;
137;               Affitto, libero            ;centro;Intera proprietà;55;2;3°;Intera proprietà;1000;150;;2017.0;nuovo/incostruzione;centralizzato;centralizzato;               A3              
138;               Affitto, 4+4            ;centro;Intera proprietà;70;3;2°;Intera proprietà;700;80;;1700.0;ottimo/ristrutturato;centralizzato;centralizzato;               E              
139;               Affitto, 4+4            ;centro;Intera proprietà;77;3;;;790;160;;;buono/abitabile;centralizzato;assente;               C              
140;               Affitto, libero            ;centro;Intera proprietà;29;1;Piano;Intera proprietà;300;85;;1900.0;buono/abitabile;centralizzato;assente;               F              
142;               Affitto, libero            ;centro;Intera proprietà;40;1;2°;Intera proprietà;300;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
143;               Affitto, 4+4            ;centro;Intera proprietà;60;2;Ultimo;Intera proprietà;550;100;;;ottimo/ristrutturato;autonomo;assente;
