,Price,Rooms,Surface,Bathrooms,Floor,Zona
123,1000,5,130,2,R,crocetta
124,700,3,70,1,A,crocetta
125,450,1,35,1,3,crocetta
126,750,2,70,1,3,crocetta
127,467,3,65,1,2,crocetta
128,1400,3,130,2,6,crocetta
129,560,2,50,,1,crocetta
130,380,1,30,1,R,crocetta
131,1400,3,140,,4,crocetta
132,950,2,70,1,5,crocetta
133,1250,5,125,2,2,crocetta
134,1800,5+,170,2,8,crocetta
135,450,2,50,1,3,crocetta
136,480,2,55,1,A,crocetta
137,700,3,67,1,,crocetta
138,1100,3,120,2,,crocetta
139,400,1,35,1,T,crocetta
140,650,4,90,1,3,crocetta
141,1200,4,120,1,R,crocetta
142,500,3,72,1,,crocetta
143,600,3,75,2,1,crocetta
144,1250,3,100,1,T,crocetta
145,800,2,50,1,,crocetta
146,850,1,75,1,4,crocetta
147,,4,110,2,3,crocetta
148,650,3,70,1,A,crocetta
149,410,2,40,1,5,crocetta
150,1300,5,150,2,4,crocetta
151,3000,5+,236,2,1,crocetta
152,600,3,90,1,4,crocetta
153,736,5+,180,2,1,crocetta
154,450,2,40,1,3,crocetta
155,205,5+,200,2,,crocetta
156,700,2,65,1,T,crocetta
157,600,2,50,1,3,crocetta
158,580,3,80,1,,crocetta
159,1900,5+,260,3,5,crocetta
160,350,1,25,1,5,crocetta
161,275,5+,100,2,2,crocetta
162,430,2,50,1,6,crocetta
163,380,2,40,1,5,crocetta
164,1500,4,160,2,5,crocetta
165,1560,4,105,,1,crocetta
166,1000,5,160,2,3,crocetta
167,650,3,95,1,2,crocetta
168,990,3,70,1,2,crocetta
169,400,2,53,1,5,crocetta
170,2000,5+,155,2,8,crocetta
171,650,3,80,2,2,crocetta
172,940,5,130,2,4,crocetta
173,550,2,50,1,,crocetta
174,1000,5+,160,2,3,crocetta
175,600,2,50,1,3,crocetta
176,570,2,60,1,6,crocetta
177,650,2,45,1,1,crocetta
178,700,3,70,1,T,crocetta
179,800,2,55,1,3,crocetta
180,750,3,70,1,2,crocetta
181,360,1,28,1,5,crocetta
182,1200,4,80,1,4,crocetta
183,1000,5,143,1,4,crocetta
184,1500,5+,190,2,4,crocetta
185,950,3,80,1,,crocetta
186,1300,3,120,2,,crocetta
187,550,3,58,1,4,crocetta
188,500,2,45,1,1,crocetta
189,450,2,45,1,,crocetta
190,1350,5,150,3,3,crocetta
191,1350,5+,200,2,3,crocetta
192,450,3,75,1,5,crocetta
193,1600,2,70,1,,crocetta
194,880,3,90,1,2,crocetta
195,700,2,80,1,3,crocetta
196,650,2,71,1,1,crocetta
197,420,3,15,1,1,crocetta
198,1100,3,70,1,3,crocetta
199,1500,4,120,,3,crocetta
200,2000,4,150,2,A,crocetta
201,1800,4,180,3,A,crocetta
202,650,2,60,1,4,crocetta
203,850,3,90,1,2,crocetta
204,340,1,28,1,,crocetta
205,2000,5+,125,2,2,crocetta
206,1100,2,60,1,1,crocetta
207,650,2,66,1,,crocetta
